Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
D-Man-alpha-(1,3)-D-Glc-beta-(1,4)-D-Glc-alpha-1-diphosphoundecaprenol beta-1,2-glucuronyltransferase	gumK	gumK			D-Man-&alpha;-(1,3)-D-Glc-&beta;-(1,4)-D-Glc-&alpha;-1-diphosphoundecaprenol &beta;-1,2-glucuronyltransferase
D-tagatose-6-phosphate kinase subunit	lacC	lacC			D-tagatose-6-phosphate kinase
4-hydroxy-4-methyl-2-oxoglutarate aldolase aldolase	gllC	PP_2514	2861334	2862050	4-hydroxy-4-methyl-2-oxoglutarate aldolase
Tyrosine aminotransferase	TAT	TAT	72323863	72334108	tyrosine aminotransferase
trimethylamine dehydrogenase	tmd	tmd			trimethylamine dehydrogenase
acetate--CoA ligase I	acl	AF_RS06130	1081427	1083484	acetate--CoA ligase
monoglucosyldiacylglycerol synthase	mgdA	sll1377			monoglucosyldiacylglycerol synthase
squalene monooxygenase	ERG1	ERG1	846928	848418	squalene,NADPH:oxygen oxidoreductase (2,3-epoxidizing) // squalene,hydrogen-donor:oxygen oxidoreductase (2,3-epoxidizing)
hydrogen carbonate methyltranferase	corH	corH			hydrogen carbonate methyltranferase
aldehyde dehydrogenase	ALD3	ALD3			3-aminopropanal:NAD(P)+ oxidoreductase // aldehyde:NAD+ oxidoreductase
phosphatidylinositol 4-kinase type-2 beta	PI4K2B	PI4K2B	25319046	25364096	phosphatidylinositol 4-kinase
undecaprenyl-diphosphooligosaccharide--protein glycotransferase	pglB	pglB	1057979	1060120	undecaprenyl-diphosphooligosaccharide--protein glycotransferase
phosphatidylserine synthase	pssA	pssA			phosphatidylserine synthase
<i>N</i>-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase	ylmB	BH2678			formylaminopyrimidine deformylase
pyrogallol hydroxytransferase	athL // bthL				pyrogallol hydroxytransferase
ribose 5-phosphate isomerase	rpiA	rpiA			ribose 5-phosphate isomerase
benzylsuccinate synthase	bssC // bssB // bssA				benzylsuccinate synthase
carbamate phosphorylase	gdnR	gdnR			carbamate phosphorylase
UDP-N-acetylglucosamine pyrophosphorylase	Uap	Uap			UDP-<i>N</i>-acetylglucosamine pyrophosphorylase
4-hydroxy-2-ketopimelate aldolase	hpaI	hpaI			4-hydroxy-2-ketopimelate aldolase
frataxin	YFH1	YDL120W	245923	246447	frataxin
cholesterol 25-monooxygenase	CH25H	CH25H	90187364	90188741	cholesterol 25 monooxygenase
dTDP-4-amino-4,6-dideoxy-<small>D</small>-glucose transaminase	spcS1	spcS1			dTDP-4-amino-4,6-dideoxy-<small>D</small>-glucose transaminase
galactosylgalactosylxylosylprotein 3-&beta;-glucuronosyltransferase 2	B3GAT2	B3GAT2	71533569	71633442	galactosylgalactosylxylosylprotein 3-&beta;-glucuronosyltransferase
fatty aldehyde dehydrogenase HFD1	HFD1	YMR110C	490394	491992	2-hydroxyhexadecanal dehydrogenase // (2E)-hexadecenal dehydrogenase // 4-hydroxybenzaldehyde dehydrogenase
reduced flavorubredoxin	norV	b2710	2832476	2833915	nitric oxide reductase
ssDNA-specific exonuclease RecJ	recJ	b2892	3036373	3038106	ssDNA-specific exonuclease
bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	cobU	cobU			GTP:adenosylcobinamide phosphotransferase // ATP:adenosylcobinamide phosphotransferase // purine triphosphate:adenosylcobinamide phosphotransferase // GTP:adenosylcobinamide-phosphate guanylyltransferase
hapalindole U synthase	ambU4 // ambU1				hapalindole U synthase
glutathione-specific &gamma;-glutamylcyclotransferase 2	CHAC2	CHAC2	54181156	54188514	glutathione-specific &gamma;-glutamylcyclotransferase
parkeol synthase	Os11g08569	Os11g08569			parkeol synthase
&beta;-hydroxy-L-tyrosine-[NovH] dehydrogenase	novJ // novK				&beta;-hydroxy-L-tyrosine-[NovH] dehydrogenase
ribosomal protein S6 modification protein	rimK	b0852	891967	892869	ribosomal protein S6 modification
long-chain fatty acid &omega;-hydroxylase	CYP704B2	CYP704B2			palmitate &omega;-hydroxylase // oleate &omega;-hydroxylase
<i>Escherichia coli</i> O169 O antigen polymerase	wzy<sub>O169</sub>	wzy<sub>O169</sub>			<i>Escherichia coli</i> O169 O antigen polymerase
haloalkane dehalogenase	linB	linB			&beta;-hexachlorocyclohexane dehalogenase // 2,4,5-trichloro-2,5-cyclohexadiene-1-diol dehalogenase // 1,3,4,6-tetrachloro-1,4-cyclohexadiene dehalogenase
neoxanthin synthase	VDL1	VDL1			deepoxyneoxanthin synthase // neoxanthin synthase
methylmalonate-semialdehyde dehydrogenase subunit	mmsA	mmsA			methylmalonate-semialdehyde dehydrogenase
5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	phnP	b4092	4314344	4315102	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase
1-piperideine-2-carboxylate reductase	SARD4	AT5G52810			1-piperideine-2-carboxylate reductase
ureidoglycine aminotransferase subunit	hpxJ	hpxJ			ureidoglycine aminotransferase
3,4-dihydroxy-2-butanone 4-phosphate synthase monomer	ribB	ribB			3,4-dihydroxy-2-butanone 4-phosphate synthase
&alpha;-L-rhamnosyl-(1&rarr;4)-&beta;D-glucuronate lyase	FoRham	FoRham			&alpha;-L-rhamnosyl-(1&rarr;4)-&beta;D-glucuronate lyase // &alpha;-L-rhamnosyl-(1&rarr;4)-&beta;D-glucuronate lyase
methenyltetrahydrofolate cyclohydrolase	fchA	fchA			methenyltetrahydrofolate cyclohydrolase
&beta;-ketothiolase	bktB	bktB			3-oxohexanoyl-CoA thiolase // acetyl-CoA <em>C</em>-acetyltransferase // &beta;-ketovaleryl-CoA thiolase
3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase	hsaC	Rv3568c			3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase
dTDP-glucose 4,6-dehydratase	oleE	oleE			dTDP-glucose 4,6-dehydratase
3,4-dihydroxyphthalate decarboxylase	padC2	padC2	206923	207654	3,4-dihydroxyphthalate decarboxylase
muconolactone isomerase	catC	catC			muconolactone isomerase
&Delta;8-&Delta;7-sterol isomerase	HYD1	HYD1			4-&alpha;-methyl-zymosterol &Delta;8-&Delta;7-sterol isomerase // 4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-dien-3&beta;-ol &Delta;8-&Delta;7-sterol isomerase
glucosamine-6-phosphate <i>N</i>-acetyltransferase 1	GNA1	GNA1	103977	104456	glucosamine-6-phosphate <i>N</i>-acetyltransferase
glutathione gamma-glutamylcysteinyltransferase	PCS1	PCS1			glutathione gamma-glutamylcysteinyltransferase
12-<i>epi</i>-fischeindole U synthase	fimC5	fimC5			12-<i>epi</i>-fischeindole U synthase
aspartate carbamoyltransferase	AT3G20330	AT3G20330	7090112	7092676	aspartate carbamoyltransferase
glycerol kinase GlpK	glpK	EF_1929	1871224	1872729	glycerol kinase GlpK
phosphoserine aminotransferase	PSAT1	PSAT1	80912059	80945009	phosphoserine aminotransferase // phosphoserine aminotransferase
farnesyl diphosphate synthase	hbgg	hbgg			farnesyl pyrophosphate synthase // geranyl pyrophosphate synthase // geranylgeranyl pyrophosphate synthase
menaquinol:nitrate oxidoreductase	narI // narG // narH		2001177	2001854	menaquinol:nitrate oxidoreductase
sucrose 4-<i>O</i>-acyltransferase	ASAT1	ASAT1			sucrose 4-<i>O</i>-lauroyltransferase // sucrose 4-<i>O</i>-decanoyltransferase // sucrose 4-<i>O</i>-2-methyl-butyryltransferase // sucrose 4-<i>O</i>-isovaleryltransferase // sucrose 4-<i>O</i>-isobutyryltransferase
5-demethoxyubiquinone hydroxylase COQ7	COQ7	COQ7	18509186	18521604	5-demethoxyubiquinol hydroxylase
&alpha;-L-rhamnosidase	ramA	ramA			hesperidin &alpha;-L-rhamnosidase // naringin &alpha;-L-rhamnosidase // pNP-&alpha;-L-rhamnoside &alpha;-L-rhamnosidase // &alpha;-L-rhamnosidase
squalene monooxygenase	MCA2872	MCA2872			squalene monooxygenase
glycine-cleavage system	gcvP // gcvT // gcvH // lpdA				glycine-cleavage system
histidine racemase	cntK	SAOUHSC_02770	2546721	2547542	histidine racemase
acetate kinase					acetate kinase
2-benzylmalate synthase	hphA	Npun_F2464			2-(4-hydroxybenzy)malate synthase // 2-benzylmalate synthase
<small>L</small>-aminoadipate-semialdehyde dehydrogenase	amaB	amaB			L-&alpha;-aminoadipate &delta;-semialdehyde:NAD oxidoreductase
23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase	rlmE	b3179	3327035	3327664	23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase
non-ribosomal peptide synthase PchF	pchF	pchF			L-cystein-[PchF NRPS] ligase // (4'S,4''R)-hydroxyphenyl-4,2-bis-thiazoline synthase // <i>N</i>-demethyl-enantio-pyochelin methyltransferase // enantio-pyochelin:[PchF NRPS] thioesterase
carbamoyl-phosphate synthetase P	pyrAB // pyrAA		1623736	1626951	carbamoyl-phosphate synthase (glutamine-hydrolysing)
sulfoquinovose monooxygenase	smoC	Atu3279			sulfoquinovose monooxygenase
CTP synthase 2	CTPS2	CTPS2	15433409	15556800	CTP synthase
isoleucine <i>N</i>-monooxygenase	CYP79D4	CYP79D4			valine <i>N</i>-monooxygenase // isoleucine <i>N</i>-monooxygenase
canaline reductase					canaline reductase
<i>N</i>-acetyl-demethylphophinothricin P-methyltransferase	bcpD	bcpD			<i>N</i>-acetylphophinothricin P-methyltransferase // <i>N</i>-acetylphophinothricyl-L-alanyl-L-alanine P-methyltransferase
UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase	waaB	b3628	3803058	3804137	lipopolysaccharide 1,6-galactosyltransferase
pyruvate dehydrogenase	aceE	b0114	123017	125680	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase
C-24 sterol reductase	ERG4	ERG4	472851	474272	C-24 sterol reductase
2,4,6-trinitrotoluene nitroreductase	pnrA	pnrA			2,4,6-trinitrotoluene nitroreductase
malyl-CoA lyase subunit	mcl1	mcl1			&beta;-methylmalyl-CoA lyase // malyl-CoA lyase
cullin-RING-type E3 NEDD8 transferase complex	RBX1 // CUL1 // DCUN1D1		37961933	37978421	E3 NEDD8 transferase
&beta;-glucosidase					lotaustralin &beta;-glycosidase // linamarin &beta;-glycosidase
prepilin leader peptidase/<i>N</i>-methyltransferase	pilD	pilD			N-terminal L-phenylalanyl-[type IV prepilin] <i>N</i>-methyltransferase // prepilin IV leader peptidase
3&prime;&prime;-deamino-3&prime;&prime;-oxonicotianamine reductase	DMAS1	DMAS1			3&prime;&prime;-deamino-3&prime;&prime;-oxonicotianamine reductase
bifunctional LPS core oligosaccharide glucosyltransferase/O-antigen ligase WadA	wadA	BAB_RS18990	624678	626789	O-antigen ligase // UDP-Glu:&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-[lipid A] &beta;-(1,4)-glucosyltransferase
bifunctional phytoene synthase/lycopene cyclase	crtYB	crtYB			lycopene &beta;-cyclase // &gamma;-carotene &beta;-cyclase // lycopene &beta;-cyclase // phytoene synthase
&beta;-ribofuranosylhydroxybenzene 5'-phosphate synthase	MJ1427	MJ1427			4-(&beta;-D-ribofuranosyl)aminobenzene-5'-phosphate synthase // 4-(&beta;-D-ribofuranosyl)hydroxybenzene 5'-phosphate synthase
O-acetylhomoserine sulfhydrylase					<i>O</i>-acetylhomoserine sulfhydrylase
feruloyl esterase A	faeA	faeA			4-hydroxy-3-methoxycinnamoyl-sugar hydrolase
vinylphenol reductase					4-vinylphenol reductase // 4-vinylguaiacol reductase
2-keto-3-deoxy-L-rhamnoate aldolase	lra4	lra4			2-keto-3-deoxy-L-rhamnoate aldolase
maleate isomerase	maiA	PPS_4060			maleate isomerase
sinapoylglucose:choline O-sinapoyltransferase	SNG2	SNG2	2988315	2991157	sinapoylglucose:choline <i>O</i>-sinapoyltransferase
phthalate 3,4-dioxygenase ferredoxin subunit // phthalate 3,4-dioxygenase ferredoxin reductase subunit // phthalate 3,4-dioxygenase terminal component	padAb2 // padAa2 // padAd2 // padAc2		203716	204342	phthalate 3,4-dioxygenase
glyceraldehyde 3-phosphate dehydrogenase subunit					glyceraldehyde 3-phosphate dehydrogenase
(5E)-3-amino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one dehydrogenase	hlmD	SCLAV_5270			(5E)-3-amino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one dehydrogenase
nicotinate-nucleotide--benzimidazole phosphoribosyltransferase	cobT	Despr_1059			icotinate-nucleotide--benzimidazole phosphoribosyltransferase
2-hydroxymuconate semialdehyde dehydrogenase	xylG	xylG			2-hydroxymuconate semialdehyde dehydrogenase
tetrahydroxy-7,9-dioxapentacycloicosaheptenone 16-reductase	aflM	aflM			tetrahydroxy-7,9-dioxapentacycloicosaheptenone 16-reductase
1,2-dinitroglycerin reductase (2-mononitroglycerol forming) [multifunctional]	xenB	xenB			1,2-dinitroglycerin reductase (2-mononitroglycerol forming) // 1,2-dinitroglycerol reductase (1-mononitroglycerol forming) // 1,3-dinitroglycerol reductase // nitroglycerin reductase (1,2-dinitroglycerol forming) // nitroglycerin reductase (1,3-dinitroglycerol forming)
thalianol 7-hydroxylase	CYP708A2	At5g48000			thalianol 7-hydroxylase
coniferin beta-glucosidase	AF072736	AF072736			coniferin &beta;-glucosidase
fatty aldehyde dehydrogenase	ALDH3A2	ALDH3A2	21188699	21217514	(2E)-hexadecenal dehydrogenase // hexadecanal dehydrogenase // dodecanal dehydrogenase // decanal dehydrogenase // farnesal dehydrogenase // octanal dehydrogenase // aldehyde dehydrogenase // fatty aldehyde dehydrogenase // indole acetaldehyde dehydrogenase // 5-hydroxyindole acetaldehyde dehydrogenase // phenylacetaldehyde dehydrogenase // 3,4-dihydroxyphenylglycolaldehyde dehydrogenase // 3-methoxy-4-hydroxyphenylglycolaldehyde dehydrogenase // 4-acetamidobutanal dehydrogenase // acetaldehyde dehydrogenase // 3,4-dihydroxyphenylacetaldehyde dehydrogenase // straight chain fatty aldehyde dehydrogenase // 2-methyl branched fatty aldehyde dehydrogenase // phytenal dehydrogenase
2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	basE	ABUW_1180			2,3-dihydroxybenzoate-[aryl-carrier protein] ligase
OPC4 acyl-CoA oxidase / OPC6 acyl-CoA oxidase / OPC8 acyl-CoA oxidase	ACX1A	ACX1A			OPC4 acyl-CoA oxidase // OPC6 acyl-CoA oxidase // OPC8 acyl-CoA oxidase
peptidoglycan glycosyltransferase MrdB	mrdB	b0634	665201	666313	peptidoglycan glycosyltransferase
2-phosphinomethylmalate synthase	pmmS	pmmS			2-phosphinomethylmalate synthase
undecaprenyl pyrophosphate phosphatase	ybjG	b0841	882792	883388	undecaprenyl pyrophosphate phosphatase
phosphoribosylaminoimidazole carboxylase	ADE2	ADE2	564476	566191	phosphoribosylaminoimidazole carboxylase
cannabidiolate synthase	CBDAS	CBDAS			cannabidiolate synthase // cannabidiolate synthase
glucose-1-phosphate thymidylyltransferase	gerD	gerD			glucose-1-phosphate thymidylyltransferase
alpha-amylase	malS	b3571	3737497	3739527	&alpha;-amylase
glutaryl-CoA dehydrogenase	gcdH	PP_0158	168404	169585	glutaryl-CoA dehydrogenase
sulfenic acid isomerase	LFS	LFS			lachrymatory-factor synthase
bryostatin polyketide synthase BryD	bryD	bryD			bryostatin polyketide synthase BryD
phytanoyl-CoA dioxygenase, peroxisomal	PHYH	PHYH	13282962	13305701	3-methyl-branched 2,3,4-saturated fatty acyl-CoA 2-hydroxylase
D-amino acid oxidase subunit	DAO	DAO	107797986	107818839	D-amino acid oxidase
chaperone protein HtpG	htpG	b0473	495120	496994	chaperone ATPase
flavonoid <i>C</i>-glucosyltransferase	CGT	CGT			2-hydroxyflavanone 3-<i>C</i>-glucosyltransferase // 1-phenyl-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione 3-<i>C</i>-glucosyltransferase // 3-<i>C</i>-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane 5-<i>C</i>-glucosyltransferase // nothofagin 5'-<i>C</i>-glucosyltransferase // phloretin 3'-<i>C</i>-glucosyltransferase // 2,4,4',6-tetrahydroxydibenzoylmethane 3-<i>C</i>-glucosyltransferase
pyridoxamine-pyruvate aminotransferase subunit	ppat	ppat			pyridoxamine-pyruvate aminotransferase
(S)- cheilanthifoline synthase	CYP719A14	CYP719A14			(S)- cheilanthifoline synthase
polybrominated diphenyl ether synthase	bmp7	bmp7			2,4-dibromo-6-(2,4-dibromophenoxy)phenol synthase // 2,4-dibromo-6-(2,4-dibromo-6-hydroxyphenoxy)phenol synthase // 6,6'-oxybis(2,4-dibromophenol) synthase
IMP-specific 5'-nucleotidase	ISN1	YOR155C	626628	627980	inosine 5'-phosphate 5' nucleotidase
1,3,6,8-tetrahydroxynaphthalene monooxygenase	momA	momA			flaviolin monooxygenase // 1,3,6,8-tetrahydroxynaphthalene monooxygenase (quinone-forming)
lydicamycin polyketide synthase 1	TPA0598_03_00840	TPA0598_03_00840			lydicamycin polyketide synthase 1
-(R,R)-2,3-butanediol dehydrogenase subunit					(R-acetoin forming)-(R,R)-2,3-butanediol dehydrogenase
enoyl-[acyl-carrier-protein] reductase	fabK	fabK			(2E,11Z)-icosa-2,11-dienoyl-[acp] reductase // (2E,9Z)-octadeca-2,9-dienoyl-[acp] reductase // (2E,7Z)-hexadeca-2,7-dienoyl-[acp] // (2E,5Z)-tetradeca-2,5-dienoyl-[acp] reductase
D-sorbitol dehydrogenase	mscS	HAH_5138			D-sorbitol dehydrogenase
AMP deaminase					AMP deaminase
sterol methyltransferase	SMT1	SMT1			sterol methyltransferase
&beta;-amyrin 28-monooxygenase	CYP716A17	CYP716A17			&beta;-amyrin 28-oxidase // oleanolic aldehyde 28-monooxygenase // erythrodiol dehydrogenase // &beta;-amyrin 28-monooxygenase
creatinase	creA	creA			creatinase
3-oxoacyl-(acyl-carrier-protein) synthase III	bioZ	bioZ	1115187	1116173	3-oxopimeloyl-[acp] synthase
jasmonoyl-L amino acid hydrolase ILL4	ILL4	At1g51760			indole-3-acetyl-L-leucine hydrolase // jasmonoyl-L-isoleucine hydrolase // 12-hydroxyjasmonoyl-L-isoleucine hydrolase // indole-3-acetyl-L-alanine hydrolase
UDP-Glc:&alpha;-D-GlcNAc-diphosphoundecaprenol &beta;-1,3-glucosyltransferase WfgD	wfgD	wfgD			UDP-Glc:&alpha;-D-GlcNAc-diphosphoundecaprenol &beta;-1,3-glucosyltransferase
FAD reductase (NADH)	fre	A2G96_12445			FAD reductase (NADH)
3,5,7-trioxododecanoyl-CoA synthase/olivetol synthase	OLS	OLS			tetraketide pyrone synthase // triketide pyrone synthase // olivetol synthase // 3,5,7-trioxododecanoyl-CoA synthase
cardenolide glucohydrolase II					glucoevatromonoside glucohydrolase
ginsenosidase type I					ginsenoside Rg3 3-<i>O</i>-&beta;-glucosidase // ginsenoside F2 3-<i>O</i>-&beta;-glucosidase // ginsenoside Rd 3-<i>O</i>-&beta;-glucosidase // ginsenoside Rc 3,20-<i>O</i>-glycosidase // ginsenoside Rb3 3,20-<i>O</i>-glycosidase // ginsenoside Rb2 3,20-<i>O</i>-glycosidase // ginsenoside Rb1 3,20-<i>O</i>-&beta;-glucosidase // protopanaxadiol ginsenoside 3-<i>O</i>-&beta;-glucosidase // protopanaxadiol ginsenoside 20-<i>O</i>-&beta;-glycosidase
putative glutamate&mdash;cysteine ligase 2	ybdK	b0581	606265	607383	glutamate&mdash;cysteine ligase
3-oxoacyl-[acyl carrier protein] synthase 3	fabH	b1091	1148759	1149712	&beta;-ketoacyl-ACP synthase // acetyl-CoA:ACP transacylase
peroxisomal 3-ketoacyl-CoA thiolase	ACAA1	ACAA1	37423067	37437494	3-ketoacyl-CoA thiolase
Ind4	ind4	ind4			L-arginine 4-dehydrogenase
3-sulfolactaldehyde dehydrogenase	sftD	Ga0111075_10031325			3-sulfolactaldehyde dehydrogenase
adenine phosphoribosyltransferase	apt	R02360			adenine phosphoribosyltransferase
hexokinase 1	HXK1	YFR053C	253592	255049	fructokinase // hexokinase // mannokinase // glucokinase
long-chain-fatty-acid--CoA ligase 1	ACSL1	ACSL1	186356631	186404578	(2<i>E</i>)-hexadecenoate&mdash;CoA ligase // &alpha;-linolenate&mdash;CoA ligase // long-chain-fatty-acid&mdash;CoA ligase // palmitate:CoA ligase (AMP-forming) // oleate:CoA ligase (AMP-forming) // arachidonate:CoA ligase (AMP-forming) // linoleate:CoA ligase (AMP-forming)
2-(<i>S</i>-pantetheinyl)-carbapenam-3-carboxylate synthase	thnL	thnL			2-(<i>S</i>-pantetheinyl)-carbapenam-3-carboxylate synthase
L-erythrulose 1-kinase	lerK	MSMEG_6788			L-erythrulose 1-kinase
decanoate--[acyl carrier protein] ligase	ttuA	TERTU_2253			decanoate--[acyl carrier protein] ligase
6-carboxyhexanoate--CoA ligase monomer	bioW	bioW			6-carboxyhexanoate--CoA ligase
prostaglandin reductase 2	PTGR2	PTGR2	68114190	68147681	Prostaglandin reductase 2
valerianol synthase	TPS1	TPS1			valerianol synthase
ribonucleoside hydrolase (pyrimidine-specific)	URH1	YDR400W	1271063	1272085	nicotinamide ribose nucleosidase // cytidine nucleosidase // uridine nucleosidase
styrylpyrone <i>O</i>-methyltransferase 1	KOMT1	KOMT1			styrylpyrone 4-<i>O</i>-methyltransferase // styrylpyrone 4-<i>O</i>-methyltransferase // styrylpyrone 4-<i>O</i>-methyltransferase // yangonin synthase
undecaprenyl-phosphate glucose phosphotransferase	gumD	gumD			undecaprenyl-phosphate glucose phosphotransferase
olefin &beta;-lactone synthetase	oleC	SO_1744			3-[(3Z,6Z,9Z,12Z)-pentadeca-3,6,9,12-tetraen-1-yl]-4-[(2Z,5Z,8Z,11Z)-tetradeca-2,5,8,11-tetraen-1-yl]oxetan-2-one synthetase
<i>sn</i>-1 linoleoyl-lipid 6-desaturase	desD	desD			linoleoyl-lipid 6-desaturase
aloesone synthase	PKS3	PKS3			heptaketide pyrone synthase // hexaketide pyrone synthase
fusicocca-2,10(14)-diene synthase	PaDC4:GGS	PaDC4:GGS			fusicoccadiene synthase // fusicocca-2,10(14)-diene synthase
D-ribulose 1-phosphate aldolase	Halxa_2272	Halxa_2272			D-ribulose 1-phosphate aldolase
