Pathway	Reactions
PWY-6113	RXN-21717 // RXN66-644 // RXN66-643 // RXN66-642 // RXN66-641 // RXN66-640 // RXN66-639 // RXN66-638 // RXN66-637 // RXN66-636 // RXN66-635 // RXN66-634 // RXN66-633 // RXN66-632 // RXN66-631 // RXN66-630 // RXN66-629 // RXN66-628 // RXN66-627 // RXN66-626 // RXN66-625 // RXN66-624 // RXN66-623 // RXN66-622 // RXN66-621 // RXN66-620 // RXN66-619 // RXN66-618 // RXN66-617 // RXN66-616 // RXN66-614 // RXN66-613 // RXN66-610 // ACETYL-COA-CARBOXYLTRANSFER-RXN // RXN-21726 // RXN-21725 // RXN-21724 // RXN-21723 // RXN-21722 // RXN-21721 // RXN-21720 // RXN-21719 // RXN3O-5293 // RXN-20770 // RXN-20769 // RXN3O-1803 // RXN-9635 // RXN-9634 // RXN-9633 // RXN-9632 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN1G-460 // RXN1G-2527 // RXN-15342 // RXN-15340 // RXN-15339 // RXN-15338 // RXN1G-363 // RXN-10062 // RXN-10061 // RXN-10060 // RXN-10059 // RXN1G-1637 // RXN1G-1636 // RXN1G-1635 // RXN1G-1634 // RXN1G-1633 // RXN1G-1152 // RXN1G-1151 // RXN1G-1150 // RXN1G-1149 // RXN1G-874 // RXN1G-474 // RXN1G-473 // RXN1G-472 // RXN1G-470 // RXN1G-137 // RXN1G-1439 // RXN1G-1438 // RXN1G-1437 // RXN1G-1436 // RXN1G-1435 // RXN1G-811 // RXN1G-810 // RXN1G-809 // RXN1G-808 // RXN1G-807 // RXN1G-292 // RXN1G-291 // RXN1G-290 // RXN1G-289 // RXN1G-288 // RXN1G-1530 // RXN1G-1529 // RXN1G-1528 // RXN1G-1527 // RXN1G-1486 // RXN1G-296 // RXN1G-295 // RXN1G-297 // RXN1G-98 // RXN1G-181 // RXN1G-4355 // RXN1G-4143 // RXN1G-4142 // RXN1G-4141 // RXN1G-4140 // RXN1G-3993 // RXN1G-3667 // RXN1G-3660 // RXN1G-3641 // RXN1G-3613 // RXN1G-3256 // RXN1G-3232 // RXN1G-2544 // RXN1G-45 // RXN1G-679 // RXN1G-648 // RXN1G-617 // RXN1G-582 // RXN1G-471 // RXN1G-440 // RXN1G-409 // RXN1G-374 // RXN1G-276 // RXN1G-220 // RXN1G-184 // RXN1G-94 // RXN1G-1325 // RXN1G-1278 // RXN1G-1247 // RXN1G-1212 // RXN1G-1117 // RXN1G-1081 // RXN1G-1050 // RXN1G-1015 // RXN1G-915 // RXN1G-884 // RXN1G-853 // RXN1G-818 // RXN1G-686 // RXN1G-645 // RXN1G-613 // RXN1G-557 // RXN1G-468 // RXN1G-425 // RXN1G-384 // RXN1G-334 // RXN1G-248 // RXN1G-214 // RXN1G-182 // RXN1G-79 // RXN1G-1057 // RXN1G-1004 // RXN1G-951 // RXN1G-883 // RXN1G-820 // RXN1G-760 // RXN1G-717 // RXN1G-660 // RXN1G-607 // RXN1G-554 // RXN1G-481 // RXN1G-424 // RXN1G-337 // RXN1G-294 // RXN1G-203 // RXN1G-32 // RXN1G-196 // RXN1G-127 // RXN1G-637 // RXN1G-580 // RXN1G-509 // RXN1G-309 // RXN1G-252 // RXN1G-172 // RXN1G-339 // RXN1G-308 // RXN1G-262 // RXN1G-89 // RXN1G-193 // RXN1G-464 // RXN1G-408 // RXN1G-202 // RXN1G-53 // RXN1G-355 // RXN1G-287 // RXN1G-132 // RXN1G-1130 // RXN1G-1084 // RXN1G-1053 // RXN1G-1003 // RXN1G-962 // RXN1G-912 // RXN1G-881 // RXN1G-840 // RXN1G-674 // RXN1G-396 // RXN1G-377 // RXN1G-358 // RXN1G-324 // RXN1G-299 // RXN1G-279 // RXN1G-260 // RXN1G-236 // RXN1G-210 // RXN1G-188 // RXN1G-163 // RXN1G-138 // RXN1G-285 // RXN1G-266 // RXN1G-240 // RXN1G-218 // RXN1G-37 // RXN1G-420 // RXN1G-364 // RXN1G-306 // RXN1G-171 // RXN1G-27 // RXN1G-72 // RXN1G-26 // RXN1G-30 // RXN1G-536 // RXN1G-526 // RXN1G-517 // RXN1G-508 // RXN1G-499 // RXN1G-469 // RXN1G-445 // RXN1G-395 // RXN1G-320 // RXN1G-349 // RXN1G-368
PWY-1622	GLYOHMETRANS-RXN // MALATE-DEH-RXN // RXN-2881 // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN // GKI-RXN // RXN-2802 // HYDROXYPYRUVATE-REDUCTASE-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PEPCARBOX-RXN // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN
PWY-5757	RXN-19877 // RXN-19876 // RXN-9011 // RXN-9010 // RXN-9009 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN
P281-PWY	RXN-2003 // RXN-2002 // RXN-2006 // RXN-10445 // MALEYLPYRUVATE-ISOMERASE-RXN // GENTISATE-12-DIOXYGENASE-RXN // R246-RXN // 1.14.13.58-RXN // R242-RXN // R241-RXN
PWY-7376	RXN-13826 // RXN-13824 // RXN-8675 // R342-RXN // R341-RXN // 5.4.1.2-RXN // 1.3.1.54-RXN // R322-RXN // 2.1.1.133-RXN // 2.1.1.131-RXN // R321-RXN // 2.1.1.130-RXN // UROPORIIIMETHYLTRANSA-RXN
PWY-7377	RXN-14315 // 2.1.1.151-RXN // 4.99.1.3-RXN // DIMETHUROPORDEHYDROG-RXN // RXN-8767 // RXN-8766 // RXN-8764 // RXN-8762 // RXN-8761 // UROPORIIIMETHYLTRANSA-RXN // RXN-8675 // RXN-8769 // RXN-8768 // RXN-8765 // RXN-8763
PWY-7371	RXN-15264 // RXN-12345 // RXN-12346 // RXN-10622 // RXN-10620
PWY-6583	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6581	RXN-12412 // RXN-11653 // RXN-11652 // RXN-11651 // RXN-11650 // RXN-11649 // RXN-11648 // RXN-11647 // RXN-10643
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4.1.1.68-RXN // HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN // SUCCSEMIALDDEHYDROG-RXN // 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN // 5.3.3.10-RXN // CHMS-DEHYDROGENASE-RXN // 1.13.11.15-RXN // RXN-8505
PWY-6588	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
PWY-6344	RXN-18499 // ORNCARBAMTRANSFER-RXN // ARGININE-DEIMINASE-RXN // ORNMUTST-RXN // AKPTHIOL-RXN // ORNITHINE-RACEMASE-RXN
PWY-6349	RXN-14400 // RXN-14399 // 1.1.1.261-RXN // 2.5.1.41-RXN // 2.5.1.42-RXN // RXN-9995
NADSYN-PWY	RXN-5721 // QUINOPRIBOTRANS-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN // RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN
PWY-5838	DMK-RXN // ADOMET-DMK-METHYLTRANSFER-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // RXN-8992
PWY-6690	RXN-10040 // RXN-12071 // RXN-12070 // RXN-12073 // RXN-12072
PWY-7185	RXN-12198 // RXN-12197 // RXN-12195 // RXN-12196 // RXN-14026 // RXN-14025 // CTPSYN-RXN
PWY-101	RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
PWY-7187	THYMIDYLATESYN-RXN // RXN0-723 // RXN0-724 // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DCTP-DEAM-RXN
PWY-7222	DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN
PWY-7224	DADPKIN-RXN // DGDPKIN-RXN // DEOXYADENYLATE-KINASE-RXN // GMKALT-RXN // DEOXYADENOSINE-KINASE-RXN // DEOXYGUANOSINE-KINASE-RXN
PWY-6760	RXN-19753 // RXN-21503 // 25-DIOXOVALERATE-DEHYDROGENASE-RXN // RXN-8777 // XYLONATE-DEHYDRATASE-RXN
PWY-3081	RXN-15002 // RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN-5182 // RXN-5183 // RXN-5184 // RXN-5185 // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN
PWY-6562	R101-RXN // 4.1.1.86-RXN // RXN-9380 // RXN-11565 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-6565	R101-RXN // 4.1.1.86-RXN // RXN-9380 // RXN-11565 // RXN-11564 // RXN-11566 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-5052	1.14.13.79-RXN // RXN1F-160 // RXN1F-161 // 1.14.13.78-RXN // RXN-5242 // RXN-7580 // 4.2.3.19-RXN // 5.5.1.13-RXN // RXN-14327 // RXN-14318 // RXN-14317 // RXN1F-165 // RXN-6541 // RXN1F-99 // RXN-6523 // RXN1F-164 // RXN1F-163 // RXN1F-162 // RXN-6524 // RXN1F-170 // RXN1F-101 // RXN1F-169 // RXN1F-168 // RXN1F-143 // RXN1F-167 // RXN-7591 // RXN-7590 // RXN-6522 // RXN-7589 // RXN-6544
PWY-5055	DIMETHYLMALEATE-HYDRATASE-RXN // 1.1.1.291-RXN // 3.5.2.18-RXN // 23-DIMETHYLMALATE-LYASE-RXN // METHYLITACONATE-DELTA-ISOMERASE-RXN // 2-METHYLENEGLUTARATE-MUTASE-RXN // RXN-7640 // 6-HYDROXYNICOTINATE-REDUCTASE-RXN // RXN-7637
COBALSYN-PWY	RXN-19343 // RXN-19338 // RXN-19342 // COBALAMIN5PSYN-RXN // RXN-8770 // DMBPPRIBOSYLTRANS-RXN // COBINAMIDEKIN-RXN // COBINPGUANYLYLTRANS-RXN
P381-PWY	R344-RXN // R343-RXN // RXN-19344 // RXN-6261 // COBINPGUANYLYLTRANS-RXN // R345-RXN // RXN-8771 // FMNREDUCT-RXN // RIBOFLAVINKIN-RXN // 4.1.1.81-RXN // RXN-8626 // GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN // RXN-13826 // RXN-13824 // RXN-8675 // R342-RXN // R341-RXN // 5.4.1.2-RXN // 1.3.1.54-RXN // R322-RXN // 2.1.1.133-RXN // 2.1.1.131-RXN // R321-RXN // 2.1.1.130-RXN // UROPORIIIMETHYLTRANSA-RXN // DMBPPRIBOSYLTRANS-RXN // RXN-8770 // COBALAMIN5PSYN-RXN
FUCCAT-PWY	RXN0-5298 // FUCISOM-RXN // FUCULOKIN-RXN // FUCPALDOL-RXN
PWY-7562	KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // RXN-16964 // 1.1.1.127-RXN // RXN-15999 // RXN-15893 // RXN-15892
PWY-7560	IPPISOM-RXN // 2.7.7.60-RXN // 2.7.1.148-RXN // ISPH2-RXN // RXN0-884 // RXN0-882 // RXN0-302 // DXPREDISOM-RXN // DXS-RXN
PWY-6906	TRANS-RXN0-445 // GLUCOSAMINE-KINASE-RXN // RXN-12629 // N-ACETYLGLUCOSAMINE-KINASE-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN // NAG6PDEACET-RXN // PHOSACETYLGLUCOSAMINEMUT-RXN // RXN-12627
PWY-6901	GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // TRANSALDOL-RXN // 2TRANSKETO-RXN // DLACTDEHYDROGNAD-RXN // L-LACTATE-DEHYDROGENASE-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // RXN-25603 // XYLISOM-RXN // XYLULOKIN-RXN
PWY-5634	RXN-8812 // RXN-8811 // RXN-8810 // 2.3.1.175-RXN // 1.14.11.26-RXN // 1.14.20.1-RXN // 5.1.1.17-RXN // RXN-8809 // 1.21.3.1-RXN // 6.3.2.26-RXN
PYRIDNUCSAL-PWY	NAD-SYNTH-NH3-RXN // NICOTINAMID-RXN // NAD-SYNTH-GLN-RXN // NMNNUCLEOSID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NADPYROPHOSPHAT-RXN // NICONUCADENYLYLTRAN-RXN
PWY-6830	RXN-8103 // RXN-8102 // RXN-8101 // RXN-8100 // RXN-8099 // RXN-8098 // H2-METHYLENE-THMPT-DEHYDRO-RXN // 2.1.1.86-RXN // METHELENE-THMPT-OXI-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // RXN-23967 // 1.2.7.4-RXN // RXN-12908 // ACETYLSYNCLTH-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // RXN-8096 // RXN-8095 // METHYL-COM-HTP-RXN
PWY-722	RXN-11318 // NICOTINATE-DEHYDROGENASE-RXN // RXN-7573 // MALEATE-ISOMERASE-RXN // RXN-646 // 1.13.11.9-RXN
PWY-7413	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14707 // RXN-15048
PWY-7415	MACROCIN-O-METHYLTRANSFERASE-RXN // DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN // RXN-15058 // RXN-15059 // RXN-15060 // RXN-15061 // RXN-15062 // RXN-15063 // RXN-15064
PWY-7414	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12840 // RXN-12810 // RXN-12772
PWY-3661	RXN-22742 // RXN-22706 // GLYOHMETRANS-RXN // RXN-15127 // RXN-15124 // RXN-15125 // SARCOX-RXN // 2.1.1.5-RXN
PWY-5121	FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // RXN-24044 // RXN-24043 // RXN-15878 // IPPISOM-RXN // RXN0-302 // 2.7.1.148-RXN // 2.7.7.60-RXN // DXPREDISOM-RXN // DXS-RXN
PWY-2941	RXN-14014 // DIAMINOPIMEPIM-RXN // DIAMINOPIMDECARB-RXN // N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN // RXN-4822 // 2.3.1.89-RXN // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
GLYCOCAT-PWY	RXN-21092 // RXN0-5182 // GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // RXN0-5183 // RXN0-5146 // GLYCOPHOSPHORYL-RXN // AMYLOMALT-RXN
ALL-CHORISMATE-PWY	ADCLY-RXN // PABASYN-RXN // GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN // DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN // ADOMET-DMK-METHYLTRANSFER-RXN // DMK-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // ENTG-RXN // RXN-15891 // RXN-15890 // RXN-15889 // ENTF-RXN // RXN0-6442 // DHBAMPLIG-RXN // ENTDB-RXN // DHBDEHYD-RXN // ISOCHORMAT-RXN // ISOCHORSYN-RXN // RXN-10814 // PREPHENATEDEHYDRAT-RXN // RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN // TYROSINE-AMINOTRANSFERASE-RXN // CHORISMATEMUT-RXN // PREPHENATEDEHYDROG-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN // FPPSYN-RXN // GPPSYN-RXN // RXN-8992 // 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN // CHORPYRLY-RXN
PWY-7456	3.2.1.78-RXN // RXN-15202 // MANNPISOM-RXN // PHOSMANMUT-RXN // RXN-12977 // RXN-15344 // 3.2.1.100-RXN
HEME-BIOSYNTHESIS-II	RXN0-1461 // PROTOHEMEFERROCHELAT-RXN // PROTOPORGENOXI-RXN // UROGENDECARBOX-RXN
PWY0-1479	RXN0-6485 // RXN0-6481 // RXN0-6483 // 3.1.26.5-RXN // RXN0-6484 // RXN0-6482 // RXN0-6480 // RXN0-4222 // RXN0-6479 // RXN0-6478
PWY0-162	CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN
PWY0-166	RXN-12195 // THYMIDYLATESYN-RXN // RXN0-723 // RXN0-724 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-722 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCTP-DEAM-RXN // DCDPKIN-RXN
TRPSYN-PWY	RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN
PWY-6165	3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // ASPARTATEKIN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-8075 // RXN-10054 // RXN-10053 // RXN-10031 // RXN-10032
PWY-6163	3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN
PWY-5789	RXN0-5224 // RXN0-5055 // BIOTIN-CARBOXYL-RXN // RXN-11002 // RXN-11667 // RXN-11662 // RXN-8890 // RXN-9092 // RXN-8891 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-9086 // RXN-9087 // RXN-6383 // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // PROPIONYL-COA-CARBOXY-RXN // RXN-8974 // RXN-8963
RHAMCAT-PWY	RXN0-5306 // RXN-15356 // RHAMNISOM-RXN // RHAMNULOKIN-RXN // RHAMNULPALDOL-RXN
GALACTUROCAT-PWY	KDPGALDOL-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN
PWY-6594	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6590	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6598	RXN-11677 // RXN-16097 // RXN-16096 // RXN-16095 // RXN-16094
PWY-6353	XANTHOSINEPHOSPHORY-RXN // XMPXAN-RXN // IMP-DEHYDROG-RXN // RXN0-5199 // RXN-7609 // GUANINE-DEAMINASE-RXN // AMP-DEPHOSPHORYLATION-RXN // RXN-7682 // RXN0-901 // ADENODEAMIN-RXN // INOPHOSPHOR-RXN
PWY-6350	RXN-14404 // RXN-14403 // RXN-14400 // RXN-14399 // 1.1.1.261-RXN // 2.5.1.41-RXN // 2.5.1.42-RXN // RXN-9995 // RXN-10933 // RXN-10934
PWY-6897	PYRIMSYN3-RXN // OHMETPYRKIN-RXN // THI-P-KIN-RXN // THI-P-SYN-RXN // THIAZOLSYN3-RXN
P162-PWY	RXN-16834 // RXN-19739 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-11667 // R11-RXN // RXN-1082 // RXN-1083 // KETOGLUTREDUCT-RXN // GLUTAMATE-DEHYDROGENASE-RXN
PWY-6682	RXN-21178 // RXN-21177 // RXN-21175 // RXN-21176 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN // RXN-9009 // RXN-12007 // RXN-12008 // RXN-12009 // RXN-12010 // RXN-12011 // RXN-12012
P101-PWY	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // R103-RXN // R102-RXN // R101-RXN
PWY-4984	RXN-13202 // ARGINASE-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // ORNCARBAMTRANSFER-RXN
PANTOSYN-PWY	ASPDECARBOX-RXN // P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN // PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN
POLYISOPRENSYN-PWY	RXN-8992 // UNDECAPRENYL-DIPHOSPHATASE-RXN // RXN-8999 // FPPSYN-RXN // GPPSYN-RXN
VALSYN-PWY	ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN
PWY-6572	RXN-11572 // 4.2.2.5-RXN // RXN-12178 // RXN-12177 // RXN-11615 // 4.2.2.21-RXN // CHONDRO-4-SULFATASE-RXN // CHONDRO-6-SULFATASE-RXN
PWY-5028	N-FORMYLGLUTAMATE-DEFORMYLASE-RXN // FORMIMINOGLUTAMATE-DEIMINASE-RXN // IMIDAZOLONEPROPIONASE-RXN // UROCANATE-HYDRATASE-RXN // HISTIDINE-AMMONIA-LYASE-RXN
PWY-5022	RXN-16834 // R11-RXN // RXN-8890 // RXN-8889 // 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // GLUTAMATE-DEHYDROGENASE-RXN // GABATRANSAM-RXN
FAO-PWY	ENOYL-COA-HYDRAT-RXN // ENOYL-COA-DELTA-ISOM-RXN // ACYLCOADEHYDROG-RXN // ACYLCOASYN-RXN // OHBUTYRYL-COA-EPIM-RXN // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN
PWY-5484	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN
PWY-6823	RXN-22698 // RXN-17809 // RXN-12473 // RXN-11361 // RXN-8342 // RXN-8340
PWY-5154	ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // RXN-7933 // 2.1.3.9-RXN // CARBPSYN-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-6919	RXNMETA-12666 // RXN-12664 // RXN-12663 // RXN-12662 // RXN-12661 // RXN-12658 // RXN-12652 // RXN-12650 // RXN-12649 // PENTALENENE-SYNTHASE-RXN // RXN-12651
PWY-6915	RXN-12660 // RXN-12658 // RXN-12654 // RXN-12655 // RXN-12653 // RXN-12652 // RXN-12650 // RXN-12649 // PENTALENENE-SYNTHASE-RXN // RXN-12651
PWY-2221	RXN-15754 // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // GLUCOSE-1-DEHYDROGENASE-NADP+-RXN // GLUCONOLACT-RXN // KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // GLUCONATE-DEHYDRATASE-RXN
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN // RXN-8991 // RXN-7800 // 2-ISOPROPYLMALATESYN-RXN // 3-ISOPROPYLMALISOM-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 3-ISOPROPYLMALDEHYDROG-RXN
HSERMETANA-PWY	HOMOCYSMETB12-RXN // HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN // HOMOCYSMET-RXN
HCAMHPDEG-PWY	HCAMULTI-RXN // PHENPRODIOLDEHYDROG-RXN // MHPHYDROXY-RXN // 1.13.11.16-RXN // MHPCHYDROL-RXN
PWY-7374	RXN-15264 // RXN-12345 // RXN-14910 // RXN-10622 // RXN-10620 // RXN-9780
PWY-7373	RXN-22599 // RXN-14909 // RXN-15264 // RXN-12345 // RXN-12346 // RXN-10622 // RXN-10620 // TRANS-PENTAPRENYLTRANSFERASE-RXN
RIBOSYN2-PWY	GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // DIOHBUTANONEPSYN-RXN // RIBOPHOSPHAT-RXN // LUMAZINESYN-RXN // RIBOFLAVIN-SYN-RXN // FADSYN-RXN // RIBOFLAVINKIN-RXN
PWY-6210	3.5.99.5-RXN // 4.1.1.77-RXN // RXN-8818 // 1.2.1.32-RXN
PWY-6215	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // 3.1.2.23-RXN // 3.8.1.7-RXN // 6.2.1.33-RXN
